# Number ot time steps:856 N. contractions:400 N. expansions:454
#   t    y(0)...   Estimated error=0.0746039
# hmin:0.0127324 hmax:0.25882
0 1 2 
37.3786 -1.97072 0.317381 
37.4816 -1.93296 0.412322 
37.5954 -1.88127 0.493141 
37.7254 -1.81224 0.566896 
37.8784 -1.71975 0.641208 
38.0633 -1.59335 0.72707 
38.2898 -1.41595 0.843654 
38.5476 -1.17778 1.01521 
38.7477 -0.957345 1.19772 
38.9249 -0.726989 1.41336 
39.0944 -0.46573 1.68178 
39.2638 -0.153229 2.01483 
39.377 0.0886873 2.25914 
39.4754 0.321118 2.4607 
39.5638 0.545464 2.6037 
39.6455 0.761634 2.67326 
39.724 0.971542 2.65664 
39.8025 1.17626 2.5401 
39.8864 1.38012 2.30279 
39.9546 1.52828 2.03816 
40.0173 1.64746 1.75698 
40.0784 1.74601 1.46795 
40.1395 1.82689 1.18139 
40.2037 1.89344 0.898238 
40.275 1.94722 0.616613 
40.3652 1.98891 0.319161 
40.464 2.00739 0.0661636 
40.5579 2.00475 -0.114414 
40.6518 1.98735 -0.250094 
40.7502 1.95727 -0.357208 
40.8568 1.91431 -0.445577 
40.9763 1.8563 -0.522765 
41.1144 1.77892 -0.595716 
41.2789 1.6746 -0.672965 
41.4792 1.53048 -0.768004 
41.7235 1.3269 -0.905052 
41.9554 1.09817 -1.07832 
